GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.coho04:githubapi,io.github.coho04.githubapi,SelfUser,8,196,2,2,0,27,2,21,0,21
io.github.coho04:githubapi,io.github.coho04.githubapi,Github,12,134,3,3,0,30,3,13,0,13
io.github.coho04:githubapi,io.github.coho04.githubapi.entities.repositories,GHFile,0,137,1,3,0,32,1,15,0,14
io.github.coho04:githubapi,io.github.coho04.githubapi.entities.repositories,GHLabel,0,67,0,0,0,16,0,8,0,8
io.github.coho04:githubapi,io.github.coho04.githubapi.entities.repositories,GHRepository,8,1570,10,38,0,278,10,135,0,121
io.github.coho04:githubapi,io.github.coho04.githubapi.entities.repositories,GHBranch,0,67,0,0,0,16,0,6,0,6
io.github.coho04:githubapi,io.github.coho04.githubapi.entities.repositories,GHIssue,0,387,3,9,0,84,3,30,0,27
io.github.coho04:githubapi,io.github.coho04.githubapi.entities.repositories,GHLicense,0,71,0,0,0,18,0,7,0,7
io.github.coho04:githubapi,io.github.coho04.githubapi.entities.repositories,GHMilestone,0,183,0,4,0,41,0,16,0,14
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHAdvisory,0,219,0,0,0,46,0,25,0,25
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHActionsCache,0,68,0,0,0,16,0,8,0,8
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHSecret,0,48,0,0,0,12,0,6,0,6
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHPages,0,104,0,0,0,24,0,12,0,12
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHPermission,0,48,0,0,0,12,0,6,0,6
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHRepositoryCache,0,32,0,0,0,8,0,4,0,4
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHArtifact,0,80,0,0,0,18,0,9,0,9
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHHook,0,111,1,3,0,25,1,13,0,12
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHPackage,0,78,1,3,0,17,1,9,0,8
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHPlan,0,75,0,0,0,18,0,7,0,7
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHProject,0,118,1,3,0,26,1,13,0,12
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHTeam,7,214,2,4,0,48,2,18,0,17
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,HttpsCertificate,0,39,0,0,0,10,0,5,0,5
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHAlert,0,205,3,9,0,43,3,23,0,20
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHOrganisation,32,1341,9,11,0,239,9,109,0,108
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHGitignoreTemplate,0,21,0,0,0,6,0,3,0,3
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHWorkflowRun,0,51,0,0,0,12,0,6,0,6
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHUser,4,234,1,1,0,44,1,22,0,22
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHEvent,0,66,0,0,0,16,0,8,0,8
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHStep,0,58,0,0,0,14,0,7,0,7
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHVariable,0,57,0,0,0,14,0,7,0,7
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHPullRequest,0,327,1,9,0,65,1,37,0,33
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHVulnerability,0,50,1,3,0,11,1,6,0,5
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHWorkflowJob,0,189,0,6,0,41,0,21,0,18
io.github.coho04:githubapi,io.github.coho04.githubapi.entities,GHPublicKey,0,21,0,0,0,6,0,3,0,3
io.github.coho04:githubapi,io.github.coho04.githubapi.utilities,LogFormatter,0,134,0,6,0,30,0,6,0,3
io.github.coho04:githubapi,io.github.coho04.githubapi.utilities,HttpRequestHelper,4,509,11,33,2,117,12,21,1,10
io.github.coho04:githubapi,io.github.coho04.githubapi.builders,GHHookBuilder,4,162,1,1,0,52,1,25,0,25
io.github.coho04:githubapi,io.github.coho04.githubapi.builders,GHFileBuilder,0,217,0,8,0,61,0,23,0,19
io.github.coho04:githubapi,io.github.coho04.githubapi.builders,GHTeamBuilder,0,140,0,0,0,41,0,21,0,21
io.github.coho04:githubapi,io.github.coho04.githubapi.builders,GHIssueBuilder,0,176,2,2,0,46,2,17,0,17
io.github.coho04:githubapi,io.github.coho04.githubapi.builders,GHPublicKeyBuilder,0,69,0,0,0,20,0,8,0,8
io.github.coho04:githubapi,io.github.coho04.githubapi.builders,GHProjectBuilder,0,62,0,0,0,17,0,9,0,9
io.github.coho04:githubapi,io.github.coho04.githubapi.factories,HttpURLConnectionFactory,0,9,0,0,0,2,0,2,0,2
io.github.coho04:githubapi,io.github.coho04.githubapi.interfaces,JSONHelper,2,137,1,25,0,24,1,20,0,8
io.github.coho04:githubapi,io.github.coho04.githubapi.interfaces,HttpRequestInterface,0,42,0,0,0,12,0,9,0,9
io.github.coho04:githubapi,io.github.coho04.githubapi.enums,GHRole,0,31,0,0,0,6,0,2,0,2
io.github.coho04:githubapi,io.github.coho04.githubapi.enums,GHPackageType,0,43,0,0,0,3,0,2,0,2
io.github.coho04:githubapi,io.github.coho04.githubapi.enums,GHState,0,36,1,3,0,6,1,4,0,3
io.github.coho04:githubapi,io.github.coho04.githubapi.bases,EntityBase,0,62,0,0,0,16,0,7,0,7
io.github.coho04:githubapi,io.github.coho04.githubapi.bases,GHBase,0,136,0,8,0,29,0,12,0,8
io.github.coho04:githubapi,io.github.coho04.githubapi.bases,ClassBase,0,72,0,0,0,18,0,7,0,7
